total_pop,median_income,poverty_all,poverty_count,no_vehicle_hh,edu_bachelors,edu_masters,edu_professional,edu_doctorate,edu_total,owner_hh,renter_hh,hh_total,limited_english,limited_english_total,state,county,tract,GEOID,poverty_rate,poverty_rate_c,edu_bachelors_plus,pct_bachelors_plus,pct_renters,pct_limited_english
3678,42456,3672,1044,23,579,319,0,0,2690,261,1287,1548,67,3530,36,047,028900,36047028900,0.28431372549019607,0.11895471448963055,898,0.3338289962825279,0.8313953488372093,0.018980169971671387
3232,55545,3232,921,111,594,568,11,18,2336,254,1222,1476,33,3114,36,047,029000,36047029000,0.2849628712871287,0.1196038602865632,1191,0.50984589,0.8279132791327913,0.010597302504816955
3599,101719,3592,633,152,696,675,83,0,2881,335,1078,1413,42,3288,36,047,029100,36047029100,0.1762249443207127,0.010865933,1454,0.5046858729607775,0.7629157820240623,0.012773722627737226
2717,45708,2717,561,80,406,216,35,44,2000,230,811,1041,32,2589,36,047,029200,36047029200,0.20647773279352227,0.041118722,701,0.3505,0.7790585975024016,0.012359984550019312
3572,52361,3572,678,71,440,208,39,20,2500,323,1140,1463,0,3482,36,047,029300,36047029300,0.18980963045912655,0.024450619,707,0.2828,0.7792207792207793,0
2587,82784,2122,379,16,309,175,41,18,2063,163,504,667,18,2491,36,047,029400,36047029400,0.17860508953817153,0.013246079,543,0.26320891904992727,0.7556221889055472,0.007226014
4198,100750,4198,771,78,896,861,27,113,3124,824,1072,1896,144,4001,36,047,029500,36047029500,0.1836588851834207,0.018299874,1897,0.6072343149807938,0.5654008438818565,0.035991002
6101,58407,6101,2326,153,896,328,149,0,4066,381,1656,2037,76,5747,36,047,029600,36047029600,0.38124897557777415,0.21588996457720863,1373,0.337678308,0.812960236,0.013224290934400557
4725,86225,4685,746,233,668,661,136,0,3395,886,880,1766,0,4568,36,047,029700,36047029700,0.1592315901814301,-0.006127421,1465,0.43151693667157587,0.4983012457531144,0
4183,55214,4183,1223,44,426,180,36,84,2490,388,789,1177,0,3821,36,047,029800,36047029800,0.2923738943342099,0.12701488333364438,726,0.29156626506024097,0.6703483432455395,0
2578,66989,2377,837,121,356,201,7,16,1684,311,602,913,86,2438,36,047,029900,36047029900,0.3521245267143458,0.18676551571378028,580,0.34441805225653205,0.6593647316538883,0.035274815
4283,52279,4283,1198,96,342,131,11,7,2752,478,836,1314,34,3967,36,047,030000,36047030000,0.2797104833060939,0.11435147230552836,491,0.17841569767441862,0.6362252663622526,0.008570708
3172,110938,3155,706,61,585,140,92,11,2337,379,724,1103,0,2833,36,047,030100,36047030100,0.2237717908082409,0.05841278,828,0.35430038510911427,0.6563916591115141,0
4052,83068,4052,618,123,715,205,8,26,3157,646,673,1319,0,3923,36,047,030200,36047030200,0.1525172754195459,-0.012841736,954,0.302185619,0.510235027,0
4931,35679,4865,1422,181,364,232,13,0,3603,347,1802,2149,0,4512,36,047,030300,36047030300,0.2922918807810894,0.1269328697805239,609,0.16902581182348042,0.8385295486272685,0
4150,53693,4120,981,72,650,305,68,27,3122,451,1146,1597,11,3794,36,047,030400,36047030400,0.23810679611650484,0.072747785,1050,0.33632287,0.7175954915466499,0.002899315
7457,127313,7190,686,33,2088,1219,405,6,5944,218,2943,3161,0,6816,36,047,030500,36047030500,0.095410292,-0.069948719,3718,0.6255047106325706,0.9310344827586207,0
1950,55278,1931,351,110,252,50,33,5,1486,416,252,668,2,1864,36,047,030600,36047030600,0.1817711030554117,0.016412092054846172,340,0.2288021534320323,0.3772455089820359,0.001072961
6297,42902,6268,1782,60,794,480,0,28,4517,468,2597,3065,53,6034,36,047,030700,36047030700,0.284301213,0.1189422015074115,1302,0.2882444100066416,0.8473083197389886,0.00878356
1905,64545,1905,148,91,245,191,10,10,1452,525,205,730,13,1826,36,047,030800,36047030800,0.077690289,-0.087668722,456,0.3140495867768595,0.2808219178082192,0.007119387
2671,67969,2648,756,39,288,177,15,0,1730,266,655,921,9,2438,36,047,030900,36047030900,0.2854984894259819,0.12013947842541636,480,0.2774566473988439,0.7111834961997828,0.00369155
2825,82726,2825,540,27,455,386,3,30,2123,244,949,1193,13,2670,36,047,031100,36047031100,0.1911504424778761,0.025791431477310583,874,0.4116815826660386,0.7954735959765298,0.004868914
5054,98828,4960,945,132,1236,760,175,94,4376,453,1746,2199,0,4755,36,047,031300,36047031300,0.1905241935483871,0.025165182547821574,2265,0.5175959780621572,0.7939972714870396,0
5223,81643,5219,300,193,972,392,16,7,4072,1007,821,1828,0,5046,36,047,031401,36047031401,0.057482276298141406,-0.107876735,1387,0.3406188605108055,0.44912472647702406,0
5316,88200,5311,600,163,1724,900,136,60,4379,349,2115,2464,0,5140,36,047,031500,36047031500,0.1129730747505178,-0.052385936,2820,0.6439826444393697,0.8583603896103896,0
4558,104056,4558,566,48,903,530,157,16,3422,377,1207,1584,11,4202,36,047,031701,36047031701,0.12417727073277754,-0.04118174,1606,0.46931618936294567,0.7619949494949495,0.002617801
3918,107106,3900,260,166,995,583,160,83,2895,490,1123,1613,0,3607,36,047,031702,36047031702,0.066666667,-0.098692344,1821,0.6290155440414508,0.6962182269063856,0
3175,89468,3175,211,146,725,185,60,35,2156,381,871,1252,0,2938,36,047,031900,36047031900,0.066456693,-0.098902318,1005,0.46614100185528756,0.6956869009584664,0
5168,73949,5165,614,41,1395,295,209,17,4354,177,2160,2337,0,5099,36,047,032100,36047032100,0.11887705711519846,-0.046481954,1916,0.44005512172714745,0.9242618741976893,0
3256,72353,3256,575,79,777,238,36,18,2633,325,1217,1542,0,3225,36,047,032300,36047032300,0.1765970515970516,0.011238040596486087,1069,0.4060007595898215,0.7892347600518806,0
6119,86282,6119,1364,32,1392,491,158,12,4633,77,2453,2530,40,5603,36,047,032500,36047032500,0.22291224056218337,0.05755323,2053,0.4431254047053745,0.9695652173913043,0.007139033
8110,37183,8032,3640,45,716,397,84,55,5240,612,2196,2808,323,7735,36,047,032600,36047032600,0.4531872509960159,0.2878282399954504,1252,0.23893129770992366,0.782051282,0.041758241758241756
2687,68611,2687,341,137,745,210,154,39,2210,305,1047,1352,0,2527,36,047,032700,36047032700,0.1269073315965761,-0.038451679,1148,0.5194570135746607,0.7744082840236687,0
2917,45603,2916,648,154,339,62,13,0,2142,528,636,1164,17,2641,36,047,032800,36047032800,0.2222222222222222,0.056863211,414,0.19327731092436976,0.5463917525773195,0.006436956
6033,92769,6033,1090,135,973,635,18,70,4070,474,1691,2165,0,5415,36,047,032900,36047032900,0.18067296535720206,0.015313954356636544,1696,0.4167076167076167,0.7810623556581986,0
4774,20329,4774,2185,31,469,139,16,0,2948,99,1701,1800,16,4672,36,047,033000,36047033000,0.4576874738165061,0.2923284628159406,624,0.21166892808683854,0.945,0.003424658
4192,48306,4192,1165,65,564,160,32,12,2361,301,1366,1667,0,3815,36,047,033100,36047033100,0.27791030534351147,0.11255129434294595,768,0.3252858958068615,0.8194361127774445,0
4802,74115,4802,1058,191,377,302,132,35,2542,427,920,1347,0,4212,36,047,033300,36047033300,0.22032486463973344,0.054965854,846,0.33280881195908735,0.6829992576095026,0
3221,80833,2879,709,75,322,211,58,95,1744,404,514,918,0,2974,36,047,033500,36047033500,0.2462660646057659,0.080907054,686,0.393348624,0.5599128540305011,0
5269,83833,5117,624,93,696,490,109,15,3695,863,721,1584,0,4886,36,047,033600,36047033600,0.12194645299980457,-0.043412558,1310,0.35453315290933696,0.4551767676767677,0
2710,61456,2567,125,110,309,171,74,0,1784,220,696,916,0,2440,36,047,033701,36047033701,0.048694975,-0.116664036,554,0.31053811659192826,0.759825328,0
1750,74318,1621,656,16,253,184,4,0,992,133,343,476,0,1627,36,047,033702,36047033702,0.404688464,0.23932945291060045,441,0.44455645161290325,0.7205882352941176,0
4816,44947,4812,1200,87,856,356,99,59,3235,530,1494,2024,14,4424,36,047,033900,36047033900,0.24937655860349128,0.084017548,1370,0.4234930448222566,0.7381422924901185,0.003164557
2071,30194,1588,657,0,197,63,0,29,1711,0,630,630,49,1960,36,047,034000,36047034000,0.41372796,0.2483689486971675,289,0.16890707188778492,1,0.025
2991,81116,2750,488,60,475,200,113,11,2349,142,1063,1205,7,2917,36,047,034100,36047034100,0.17745454545454545,0.012095534453979928,799,0.340144742,0.8821576763485477,0.002399726
6735,20706,6654,2793,19,402,714,0,12,4389,165,2667,2832,7,6300,36,047,034200,36047034200,0.4197475202885482,0.25438850928798273,1128,0.25700615174299385,0.9417372881355932,0.001111111
4726,25083,4726,2164,29,687,237,12,0,3375,204,1766,1970,0,4458,36,047,034300,36047034300,0.45789250952179433,0.2925334985212288,936,0.2773333333333333,0.8964467005076142,0
2661,55774,2620,402,141,515,263,42,12,1740,279,758,1037,0,2573,36,047,034500,36047034500,0.1534351145038168,-0.011923896,832,0.4781609195402299,0.7309546769527483,0
3312,35992,3312,934,156,457,190,30,45,2525,269,1556,1825,15,3123,36,047,034700,36047034700,0.28200483091787437,0.11664581991730885,722,0.2859405940594059,0.8526027397260274,0.004803074
2491,57750,2491,425,0,299,119,25,24,1491,99,718,817,50,2243,36,047,034800,36047034800,0.17061421116017664,0.0052552,467,0.3132126089872569,0.8788249694002448,0.022291574
1996,50150,1996,109,4,300,213,0,22,1341,4,766,770,0,1644,36,047,034901,36047034901,0.054609218,-0.110749793,535,0.3989560029828486,0.9948051948051948,0
4013,47444,3989,835,71,299,185,82,23,2396,165,1422,1587,0,3596,36,047,034902,36047034902,0.20932564552519428,0.043966635,589,0.24582637729549248,0.8960302457466919,0
3154,50599,3154,484,193,707,427,81,16,2817,453,1104,1557,10,3057,36,047,035000,36047035000,0.1534559289790742,-0.011903082,1231,0.4369897053603124,0.7090558766859345,0.003271181
1885,42429,1885,497,0,114,57,48,0,1097,29,658,687,0,1753,36,047,035101,36047035101,0.2636604774535809,0.098301466,219,0.19963536918869645,0.9577874818049491,0
3179,41250,3179,1255,0,498,204,11,0,1990,150,879,1029,0,3027,36,047,035102,36047035102,0.39477823214847435,0.22941922114790883,713,0.35829145728643214,0.8542274052478134,0
1439,12110,1146,616,5,252,147,0,17,1338,5,688,693,0,1439,36,047,035200,36047035200,0.537521815,0.3721628040081605,416,0.3109118086696562,0.9927849927849928,0
2860,39688,2860,981,0,404,51,27,0,1923,40,1089,1129,0,2690,36,047,035301,36047035301,0.343006993,0.17764798200642748,482,0.250650026,0.9645704162976085,0
3304,94663,3296,345,49,401,149,22,0,2310,211,776,987,0,3213,36,047,035302,36047035302,0.10467233009708737,-0.060686681,572,0.24761904761904763,0.7862208713272543,0
5507,56930,5507,735,491,1200,926,183,43,4537,1397,1417,2814,0,5359,36,047,035400,36047035400,0.1334664971854004,-0.031892514,2352,0.5184042318712806,0.5035536602700782,0
5762,54005,5762,842,15,405,228,12,0,3944,40,2063,2103,33,5383,36,047,035500,36047035500,0.14612981603609856,-0.019229195,645,0.1635395537525355,0.9809795530194959,0.006130411
2725,30450,2725,514,247,567,776,17,41,2291,498,960,1458,0,2635,36,047,035601,36047035601,0.18862385321100916,0.023264842210443643,1401,0.6115233522479266,0.6584362139917695,0
6276,57764,6276,675,380,1486,851,110,36,4957,1329,1630,2959,180,6055,36,047,035602,36047035602,0.10755258126195029,-0.05780643,2483,0.5009078071414161,0.5508617776275769,0.029727498
2550,45296,2550,787,27,171,57,0,0,1599,52,962,1014,12,2439,36,047,035701,36047035701,0.3086274509803922,0.14326843997982666,228,0.1425891181988743,0.9487179487179487,0.004920049
6127,67264,6115,1382,139,469,199,70,0,4520,249,2115,2364,0,5692,36,047,035900,36047035900,0.2260016353229763,0.060642624,738,0.16327433628318583,0.8946700507614214,0
3108,28952,3108,995,129,710,618,87,45,2662,325,1403,1728,11,2960,36,047,036001,36047036001,0.32014157014157013,0.1547825591410046,1460,0.5484598046581518,0.8119212962962963,0.003716216
4321,38047,4316,1157,109,941,685,166,11,3612,181,2008,2189,0,4189,36,047,036002,36047036002,0.2680722891566265,0.10271327815606099,1803,0.49916943521594687,0.9173138419369575,0
3025,21398,3008,1207,4,171,62,6,6,2047,144,1095,1239,22,2944,36,047,036100,36047036100,0.40126329787234044,0.23590428687177492,245,0.11968734733756717,0.8837772397094431,0.007472826
3860,51768,3831,1135,87,513,360,47,109,2529,345,1102,1447,0,3647,36,047,036200,36047036200,0.2962672931349517,0.13090828213438618,1029,0.4068801897983393,0.7615756738078784,0
5616,34916,5616,1774,159,515,235,0,0,3726,411,1756,2167,22,4927,36,047,036300,36047036300,0.3158831908831909,0.15052417988262537,750,0.20128824476650564,0.8103368712505769,0.004465192
2216,56682,2216,340,197,550,154,114,0,1691,358,572,930,0,2145,36,047,036400,36047036400,0.15342960288808663,-0.011929408,818,0.48373743347131876,0.6150537634408603,0
3528,64531,3528,753,0,511,107,0,0,2370,145,1173,1318,0,3378,36,047,036501,36047036501,0.21343537414965985,0.048076363,618,0.2607594936708861,0.8899848254931715,0
1924,47279,1923,697,9,121,0,0,12,925,58,476,534,66,1662,36,047,036502,36047036502,0.3624544981799272,0.19709548717936168,133,0.1437837837837838,0.8913857677902621,0.039711191335740074
4146,48075,3927,1185,76,522,260,24,23,2505,306,937,1243,18,3820,36,047,036600,36047036600,0.3017570664629488,0.1363980554623833,829,0.330938124,0.7538213998390989,0.004712042
1943,66410,1943,336,73,214,37,0,0,1432,306,394,700,42,1825,36,047,036700,36047036700,0.17292846114256305,0.00756945,251,0.17527932960893855,0.5628571428571428,0.023013698630136987
5666,38036,5647,1667,68,650,115,50,0,4043,362,2123,2485,49,5355,36,047,036900,36047036900,0.29520099167699665,0.12984198067643113,815,0.20158298293346524,0.8543259557344064,0.009150327
4184,79688,4055,716,152,708,404,75,0,3086,942,460,1402,0,4056,36,047,037000,36047037000,0.17657213316892725,0.011213122168361733,1187,0.3846403110823072,0.3281027104136947,0
4935,98281,4935,596,190,596,503,34,22,3151,580,1080,1660,36,4574,36,047,037100,36047037100,0.12077001013171226,-0.044589001,1155,0.36655030149158996,0.6506024096385542,0.007870573
5391,71518,5380,1490,148,544,481,13,90,3390,427,1480,1907,44,5100,36,047,037300,36047037300,0.27695167286245354,0.11159266186188802,1128,0.3327433628318584,0.7760880964866282,0.008627451
4602,56667,4602,776,96,663,423,117,90,3215,557,1255,1812,0,4102,36,047,037401,36047037401,0.16862233811386354,0.003263327,1293,0.40217729393468116,0.6926048565121413,0
5089,57667,5089,812,164,1058,778,90,32,3671,395,1717,2112,0,4687,36,047,037402,36047037402,0.15955983493810177,-0.005799176,1958,0.5333696540452193,0.8129734848484849,0
3711,80268,3708,679,91,820,315,26,135,2632,297,1223,1520,24,3667,36,047,037500,36047037500,0.1831175836030205,0.017758572602454975,1296,0.49240121580547114,0.8046052631578947,0.00654486
5042,77302,4984,1008,196,897,302,132,104,3597,624,1258,1882,35,4554,36,047,037700,36047037700,0.20224719101123595,0.03688818,1435,0.39894356408117876,0.6684378320935175,0.007685551
4819,49427,4737,1321,254,488,319,39,23,3401,545,1065,1610,0,4561,36,047,037900,36047037900,0.27886848216170573,0.11350947116114021,869,0.25551308438694503,0.6614906832298136,0
5497,56909,5497,1276,203,834,659,47,87,3888,371,2104,2475,12,5206,36,047,038100,36047038100,0.23212661451700928,0.066767604,1627,0.4184670781893004,0.8501010101010101,0.002305033
5599,20908,5595,2773,22,370,111,0,0,3294,35,1874,1909,0,5334,36,047,038200,36047038200,0.49562109025915996,0.3302620792585944,481,0.14602307225258046,0.9816657936092195,0
5250,82286,5249,1019,111,1262,546,59,132,3939,784,1378,2162,35,4838,36,047,038300,36047038300,0.19413221566012573,0.028773205,1999,0.5074892104595075,0.637372803,0.007234394
4701,90275,4701,752,119,1036,713,41,0,3207,419,1080,1499,0,4467,36,047,038500,36047038500,0.1599659646883642,-0.005393046,1790,0.5581540380417837,0.7204803202134756,0
3123,90219,3123,548,29,528,187,64,20,2171,444,596,1040,0,2869,36,047,038600,36047038600,0.175472302,0.010113291272889485,799,0.36803316444035006,0.573076923,0
4632,76150,4626,1344,245,962,226,70,16,3353,848,1081,1929,0,4284,36,047,038700,36047038700,0.2905317769130999,0.12517276591253437,1274,0.37995824634655534,0.5603939865215137,0
3996,76221,3991,546,67,493,584,52,72,2899,463,1151,1614,0,3608,36,047,038800,36047038800,0.13680781758957655,-0.028551193,1201,0.4142807864780959,0.7131350681536555,0
3045,83036,3032,735,39,646,151,0,6,2117,324,1009,1333,0,3010,36,047,038900,36047038900,0.24241424802110817,0.077055237,803,0.3793103448275862,0.7569392348087022,0
2456,78088,2456,304,84,262,184,31,11,1410,493,245,738,17,2186,36,047,039000,36047039000,0.1237785016286645,-0.041580509,488,0.34609929078014184,0.3319783197831978,0.007776761
4759,96870,4759,973,0,1235,566,168,6,3456,89,1966,2055,20,4494,36,047,039100,36047039100,0.20445471737760035,0.039095706,1975,0.5714699074074074,0.956690998,0.004450378
3351,54276,3351,400,63,426,248,72,12,2147,367,812,1179,54,2919,36,047,039200,36047039200,0.11936735302894658,-0.045991658,758,0.35305076851420586,0.6887192536047498,0.018499486125385406
4198,98672,4198,582,122,1131,354,43,28,3264,255,1276,1531,92,4019,36,047,039300,36047039300,0.13863744640304906,-0.026721565,1556,0.47671568627450983,0.8334421946440235,0.022891266
1970,50139,1970,587,115,193,50,13,16,1157,300,405,705,0,1882,36,047,039400,36047039400,0.29796954314720814,0.13261053214664262,272,0.23509075194468454,0.574468085,0
3676,52188,3676,887,85,764,289,44,0,3059,361,1475,1836,71,3533,36,047,039500,36047039500,0.24129488574537541,0.075935875,1097,0.35861392611964693,0.8033769063180828,0.020096235
2028,82868,2028,239,67,441,49,10,20,1373,323,356,679,0,1915,36,047,039600,36047039600,0.1178500986193294,-0.047508912,520,0.37873270211216314,0.524300442,0
3010,79087,2999,364,213,545,262,27,0,2261,339,974,1313,25,2788,36,047,039700,36047039700,0.12137379126375458,-0.04398522,834,0.36886333480760725,0.7418126428027418,0.008967001
3042,81078,3016,438,83,204,232,29,13,2056,477,413,890,5,2808,36,047,039800,36047039800,0.14522546419098142,-0.020133547,478,0.23249027237354086,0.4640449438202247,0.001780627
4434,61543,4404,1111,157,685,199,35,0,3034,351,1355,1706,31,4434,36,047,039900,36047039900,0.2522706630336058,0.086911652,919,0.3029004614370468,0.7942555685814772,0.00699143
2656,56541,2606,441,43,344,112,11,0,1886,419,485,904,15,2443,36,047,040000,36047040000,0.16922486569455103,0.003865855,467,0.24761399787910923,0.536504425,0.006139992
3507,60750,3496,1245,99,561,307,12,20,2546,394,869,1263,0,3415,36,047,040100,36047040100,0.35612128146453087,0.19076227046396535,900,0.3534956794972506,0.6880443388756928,0
2702,67986,2702,553,138,447,150,0,5,1994,421,420,841,7,2590,36,047,040200,36047040200,0.20466321243523317,0.039304201434667646,602,0.30190571715145437,0.4994054696789536,0.002702703
4426,86309,4407,1043,194,896,280,17,29,3441,498,917,1415,0,4313,36,047,040300,36047040300,0.23666893578398004,0.071309925,1222,0.35512932287125837,0.6480565371024735,0
2641,98482,2641,294,61,452,191,31,49,1820,464,429,893,5,2441,36,047,040400,36047040400,0.1113214691404771,-0.054037542,723,0.39725274725274723,0.48040313549832026,0.002048341
1516,66362,1516,315,25,256,44,22,11,1076,111,516,627,0,1384,36,047,040500,36047040500,0.20778364116094986,0.042424630160384336,333,0.30947955390334575,0.8229665071770335,0
3973,75885,3947,489,115,532,197,36,21,2525,382,653,1035,0,3575,36,047,040600,36047040600,0.1238915632125665,-0.041467448,786,0.3112871287128713,0.6309178743961352,0
3885,90000,3885,851,106,610,86,27,18,2720,625,503,1128,0,3522,36,047,040800,36047040800,0.21904761904761905,0.053688608047053527,741,0.27242647058823527,0.44592198581560283,0
4068,63626,4068,1229,39,616,82,66,0,2717,139,1184,1323,15,3969,36,047,040900,36047040900,0.3021140609636185,0.13675504996305296,764,0.2811924917188075,0.8949357520786092,0.003779289
1927,57000,1923,316,114,191,80,18,6,1106,350,282,632,0,1723,36,047,041000,36047041000,0.1643265730629225,-0.001032438,295,0.2667269439421338,0.4462025316455696,0
2925,58377,2925,638,49,429,107,0,0,2024,266,815,1081,0,2716,36,047,041100,36047041100,0.2181196581196581,0.052760647,536,0.2648221343873518,0.7539315448658649,0
3312,115714,3312,736,158,221,372,17,21,2220,496,516,1012,0,3121,36,047,041200,36047041200,0.2222222222222222,0.056863211,631,0.2842342342342342,0.5098814229249012,0
3664,86190,3664,536,22,601,206,0,32,2502,383,991,1374,91,3350,36,047,041300,36047041300,0.1462882096069869,-0.019070801,839,0.33533173461231014,0.7212518195050946,0.027164179
1233,52750,1233,321,75,163,60,5,6,743,190,240,430,0,1134,36,047,041401,36047041401,0.26034063260340634,0.094981622,234,0.3149394347240915,0.5581395348837209,0
1963,45625,1937,486,12,283,130,5,0,1434,238,508,746,21,1792,36,047,041402,36047041402,0.2509034589571502,0.085544448,418,0.2914923291492329,0.6809651474530831,0.01171875
4906,93211,4906,1004,60,627,350,76,0,3345,393,1222,1615,96,4835,36,047,041500,36047041500,0.20464737056665308,0.03928836,1053,0.3147982062780269,0.756656347,0.019855222
2248,62050,2248,278,52,400,199,9,15,1416,276,478,754,0,1820,36,047,041600,36047041600,0.12366548042704627,-0.041693531,623,0.4399717514124294,0.6339522546419099,0
3400,31250,3400,939,63,348,73,0,0,2349,146,1233,1379,156,3333,36,047,041700,36047041700,0.2761764705882353,0.11081745958766978,421,0.17922520221370797,0.8941261783901377,0.046804680468046804
2598,53830,2549,581,26,257,195,51,73,1336,220,632,852,20,2352,36,047,041800,36047041800,0.22793252255786584,0.062573512,576,0.4311377245508982,0.7417840375586855,0.008503401
3588,62656,3588,1278,64,290,123,19,32,2196,117,1101,1218,17,3467,36,047,041900,36047041900,0.35618729096989965,0.19082827996933413,464,0.21129326047358835,0.9039408866995073,0.004903375
1789,82606,1788,360,29,218,139,7,8,922,223,262,485,10,1610,36,047,042000,36047042000,0.20134228187919462,0.035983271,372,0.403470716,0.5402061855670103,0.00621118
4421,97250,4421,818,40,897,496,27,19,3208,260,1485,1745,218,4195,36,047,042100,36047042100,0.18502601221443113,0.019667001,1439,0.44856608478802995,0.8510028653295129,0.051966627
3465,67277,3465,769,37,621,88,81,7,2032,426,657,1083,0,3204,36,047,042200,36047042200,0.22193362193362193,0.056574611,797,0.3922244094488189,0.6066481994459834,0
4235,95506,4021,512,55,944,211,95,20,3096,119,1333,1452,65,4155,36,047,042300,36047042300,0.12733150957473266,-0.038027501,1270,0.4102067183462532,0.9180440771349863,0.015643802647412757
3946,65278,3945,874,89,444,226,39,49,2746,371,841,1212,34,3662,36,047,042400,36047042400,0.22154626108998732,0.05618725,758,0.27603787327021123,0.6938943894389439,0.009284544
3460,89044,3445,862,123,632,242,18,9,1932,148,939,1087,111,3336,36,047,042500,36047042500,0.2502177068214804,0.084858696,901,0.4663561076604555,0.8638454461821528,0.033273381
4981,77500,4841,1457,117,640,351,36,22,3225,553,1031,1584,92,4770,36,047,042600,36047042600,0.30097087378640774,0.13561186278584222,1049,0.32527131782945734,0.6508838383838383,0.019287212
4672,91750,4672,671,61,1100,470,19,9,3454,184,1600,1784,27,4401,36,047,042700,36047042700,0.14362157534246575,-0.021737436,1598,0.4626519976838448,0.8968609865470852,0.006134969
3928,78807,3928,388,104,735,437,73,36,2823,528,885,1413,25,3659,36,047,042800,36047042800,0.098778004,-0.066581007,1281,0.4537725823591923,0.6263269639065817,0.006832468
5159,67908,5159,1344,60,1047,342,0,0,3684,89,1851,1940,27,4970,36,047,042900,36047042900,0.26051560379918587,0.095156593,1389,0.3770358306188925,0.9541237113402062,0.005432596
3944,52652,3944,518,48,561,339,12,0,2660,256,1074,1330,0,3647,36,047,043000,36047043000,0.13133874239350912,-0.034020269,912,0.34285714285714286,0.8075187969924812,0
4065,86530,4065,317,0,1456,243,38,0,3101,81,1606,1687,32,3841,36,047,043100,36047043100,0.07798278,-0.087376231,1737,0.5601418897129958,0.951985774,0.008331164
4350,81548,4350,709,153,664,232,62,0,3141,340,1102,1442,0,4105,36,047,043200,36047043200,0.16298850574712645,-0.002370505,958,0.30499840815027063,0.7642163661581137,0
3455,40000,3455,1099,0,515,168,22,0,2493,79,1199,1278,61,2962,36,047,043300,36047043300,0.31808972503617944,0.15273071403561392,705,0.28279181708784595,0.9381846635367762,0.020594193112761647
3911,60724,3911,1064,127,668,250,75,8,2610,387,868,1255,0,3397,36,047,043400,36047043400,0.27205318332907186,0.10669417232850634,1001,0.38352490421455937,0.6916334661354582,0
4992,82967,4992,1062,93,948,160,61,0,3496,348,1354,1702,12,4639,36,047,043500,36047043500,0.2127403846153846,0.047381374,1169,0.3343821510297483,0.7955346650998825,0.002586764
4901,74197,4901,869,155,601,660,15,0,3717,555,1304,1859,17,4623,36,047,043600,36047043600,0.1773107529075699,0.011951741907004376,1276,0.34328759752488563,0.7014523937600861,0.003677266
5263,59643,5222,907,139,1090,327,138,11,3737,193,1691,1884,0,4881,36,047,043700,36047043700,0.17368824205285333,0.008329231,1566,0.41905271608241906,0.8975583864118896,0
2670,70344,2670,333,41,357,144,44,0,1628,161,762,923,0,2387,36,047,043800,36047043800,0.12471910112359551,-0.04063991,545,0.3347665847665848,0.8255687973997833,0
3390,71471,3390,692,108,586,83,21,0,2387,413,659,1072,73,3349,36,047,043900,36047043900,0.20412979351032448,0.038770783,690,0.2890657729367407,0.6147388059701493,0.021797552
2900,85000,2900,588,71,325,166,40,26,1580,286,546,832,19,2564,36,047,044000,36047044000,0.20275862068965517,0.03739961,557,0.35253164556962024,0.65625,0.007410296
5391,63378,5317,1535,60,1167,164,49,24,4068,162,1750,1912,100,5228,36,047,044100,36047044100,0.2886966334399097,0.12333762243934418,1404,0.34513274336283184,0.9152719665271967,0.019127773527161437
2575,69722,2575,499,113,329,213,93,7,1527,490,380,870,5,2337,36,047,044200,36047044200,0.1937864077669903,0.028427397,642,0.4204322200392927,0.4367816091954023,0.002139495
4470,94327,4470,811,133,1189,289,33,55,3388,262,1643,1905,10,4237,36,047,044300,36047044300,0.1814317673378076,0.016072756,1566,0.46221959858323497,0.8624671916010499,0.00236016
3294,65500,3294,881,111,367,233,23,0,2112,293,777,1070,0,3075,36,047,044400,36047044400,0.26745598057073466,0.10209696957016914,623,0.2949810606060606,0.7261682242990655,0
4335,84318,4335,942,80,930,310,42,39,3174,310,1360,1670,55,4226,36,047,044500,36047044500,0.21730103806228374,0.051942027061718216,1321,0.4161940768746062,0.8143712574850299,0.013014671083767155
1947,59464,1947,217,9,269,128,10,0,1336,246,359,605,0,1866,36,047,044600,36047044600,0.11145351823317926,-0.053905493,407,0.3046407185628742,0.5933884297520661,0
2594,86595,2586,1020,49,585,244,12,0,2141,56,869,925,19,2553,36,047,044700,36047044700,0.39443155452436196,0.22907254352379644,841,0.3928070994862214,0.9394594594594594,0.007442225
1839,76364,1823,177,138,331,248,13,21,1279,457,291,748,20,1724,36,047,044800,36047044800,0.097092704,-0.068266307,613,0.4792806880375293,0.3890374331550802,0.011600928
3041,55156,3041,1010,9,287,45,0,8,1824,18,977,995,30,2940,36,047,044901,36047044901,0.33212758960868133,0.1667685786081158,340,0.18640350877192982,0.9819095477386934,0.010204082
837,84583,837,290,15,112,41,67,8,434,105,128,233,0,657,36,047,045000,36047045000,0.34647550776583036,0.18111649676526484,228,0.5253456221198156,0.5493562231759657,0
2781,71890,2781,203,94,333,174,23,24,1413,409,437,846,0,2381,36,047,045200,36047045200,0.072995325,-0.092363686,554,0.3920736022646851,0.516548463,0
2253,61420,2236,997,0,337,155,72,0,1876,0,671,671,0,2221,36,047,045300,36047045300,0.4458855098389982,0.2805264988384327,564,0.3006396588486141,1,0
1882,88456,1882,145,57,368,110,19,8,1119,230,267,497,0,1749,36,047,045400,36047045400,0.077045696,-0.088313315,505,0.4512958,0.5372233400402414,0
